0,0
0.01,0.799
0.02,0.737
0.03,0.706
0.04,0.687
0.05,0.673
0.06,0.662
0.07,0.653
0.08,0.645
0.09,0.639
0.1,0.634
0.11,0.629
0.12,0.625
0.13,0.621
0.14,0.617
0.15,0.614
0.16,0.611
0.17,0.609
0.18,0.606
0.19,0.604
0.2,0.602
0.21,0.599
0.22,0.598
0.23,0.596
0.24,0.594
0.25,0.592
0.26,0.591
0.27,0.59
0.28,0.588
0.29,0.587
0.3,0.586
0.31,0.585
0.32,0.584
0.33,0.583
0.34,0.582
0.35,0.581
0.36,0.58
0.37,0.579
0.38,0.578
0.39,0.577
0.4,0.577
0.41,0.576
0.42,0.575
0.43,0.574
0.44,0.574
0.45,0.573
0.46,0.573
0.47,0.572
0.48,0.571
0.49,0.571
0.5,0.57
0.51,0.57
0.52,0.569
0.53,0.569
0.54,0.568
0.55,0.568
0.56,0.567
0.57,0.567
0.58,0.566
0.59,0.566
0.6,0.565
0.61,0.565
0.62,0.565
0.63,0.565
0.64,0.565
0.65,0.564
0.66,0.564
0.67,0.564
0.68,0.564
0.69,0.564
0.7,0.564
0.71,0.564
0.72,0.564
0.73,0.563
0.74,0.563
0.75,0.563
0.76,0.563
0.77,0.563
0.78,0.563
0.79,0.563
0.8,0.563
0.81,0.563
0.82,0.563
0.83,0.563
0.84,0.563
0.85,0.563
0.86,0.563
0.87,0.563
0.88,0.563
0.89,0.563
0.9,0.563
0.91,0.566
0.92,0.578
0.93,0.596
0.94,0.615
0.95,0.633
0.96,0.652
0.97,0.671
0.98,0.69
0.99,0.709
1,0.727
1.01,0.746
1.02,0.765
1.03,0.784
1.04,0.802
1.05,0.821
1.06,0.821
1.07,0.82
1.08,0.819
1.09,0.819
1.1,0.818
1.11,0.818
1.12,0.817
1.13,0.817
1.14,0.816
1.15,0.816
1.16,0.815
1.17,0.814
1.18,0.812
1.19,0.811
1.2,0.81
1.21,0.808
1.22,0.806
1.23,0.805
1.24,0.803
1.25,0.802
1.26,0.8
1.27,0.799
1.28,0.797
1.29,0.795
1.3,0.793
1.31,0.791
1.32,0.789
1.33,0.787
1.34,0.785
1.35,0.783
1.36,0.781
1.37,0.779
1.38,0.778
1.39,0.776
1.4,0.774
1.41,0.772
1.42,0.77
1.43,0.768
1.44,0.766
1.45,0.765
1.46,0.763
1.47,0.761
1.48,0.759
1.49,0.758
1.5,0.756
